Strategy,Mean Revenue (€),Std Revenue,95% CI,Mean Bookings,Rev/Booking (€),Retention (book/day),Revenue Lift,p-value,Significant
PPO (Ours),"205,214","±14,098","[201,208, 209,221]",2081.5,98.59,69.38,-7.5%,0.0000,✓
Fixed (α=1.0),"221,834","±19,104","[216,404, 227,263]",2040.7,108.70,68.02,baseline,-,-
Fixed (α=0.9),"203,274","±15,064","[198,993, 207,555]",2076.9,97.87,69.23,-8.4%,0.0000,✓
Fixed (α=1.1),"234,363","±25,058","[227,241, 241,484]",1950.1,120.18,65.00,+5.6%,0.0060,✓
Segmented Pricing,"214,872","±17,405","[209,926, 219,819]",2072.6,103.67,69.09,-3.1%,0.0598,
Weekend/Weekday,"218,706","±20,031","[213,013, 224,398]",2020.0,108.27,67.33,-1.4%,0.4262,
Demand Heuristic,"238,909","±26,777","[231,299, 246,519]",1915.9,124.70,63.86,+7.7%,0.0004,✓
Rule-Based Dynamic,"227,477","±19,845","[221,838, 233,117]",2027.8,112.18,67.59,+2.5%,0.1506,
Random,"219,593","±19,983","[213,914, 225,272]",2021.5,108.63,67.38,-1.0%,0.5679,
