Strategy,Mean Revenue (€),Std Revenue,95% CI,Mean Bookings,Rev/Booking (€),Retention (book/day),Revenue Lift,p-value,Significant
PPO (Ours),"195,897","±13,020","[192,197, 199,598]",2087.3,93.85,69.58,-11.0%,0.0000,✓
Fixed (α=1.0),"220,187","±21,457","[214,089, 226,285]",2022.4,108.88,67.41,baseline,-,-
Fixed (α=0.9),"203,633","±15,477","[199,234, 208,032]",2081.4,97.83,69.38,-7.5%,0.0000,✓
Fixed (α=1.1),"234,068","±26,651","[226,494, 241,642]",1950.2,120.02,65.01,+6.3%,0.0051,✓
Segmented Pricing,"214,318","±16,319","[209,680, 218,955]",2065.8,103.75,68.86,-2.7%,0.1271,
Weekend/Weekday,"219,647","±19,810","[214,017, 225,277]",2030.7,108.16,67.69,-0.2%,0.8963,
Demand Heuristic,"239,557","±26,050","[232,154, 246,960]",1921.8,124.65,64.06,+8.8%,0.0001,✓
Rule-Based Dynamic,"227,397","±20,622","[221,536, 233,257]",2028.5,112.10,67.62,+3.3%,0.0899,
Random,"218,953","±20,378","[213,162, 224,745]",2012.5,108.80,67.08,-0.6%,0.7688,
