Strategy,Mean Revenue (€),Std Revenue,95% CI,Mean Bookings,Rev/Booking (€),Retention (book/day),Revenue Lift,p-value,Significant
PPO (Ours),"213,072","±17,895","[207,986, 218,158]",2050.9,103.89,68.36,-8.1%,0.0000,✓
Fixed (α=1.0),"231,792","±11,011","[228,662, 234,921]",2133.5,108.64,71.12,baseline,-,-
Fixed (α=0.9),"203,589","±14,156","[199,565, 207,612]",2080.6,97.85,69.35,-12.2%,0.0000,✓
Fixed (α=1.1),"234,134","±26,659","[226,557, 241,710]",1947.6,120.22,64.92,+1.0%,0.5678,
Segmented Pricing,"216,447","±14,951","[212,198, 220,696]",2083.9,103.86,69.46,-6.6%,0.0000,✓
Weekend/Weekday,"219,592","±19,144","[214,151, 225,032]",2031.9,108.07,67.73,-5.3%,0.0002,✓
Demand Heuristic,"238,261","±26,486","[230,733, 245,788]",1912.0,124.62,63.73,+2.8%,0.1156,
Rule-Based Dynamic,"230,351","±20,864","[224,421, 236,280]",2053.9,112.15,68.46,-0.6%,0.6671,
Random,"219,733","±21,254","[213,693, 225,774]",2021.2,108.72,67.37,-5.2%,0.0006,✓
