Strategy,Mean Revenue (€),Std Revenue,95% CI,Mean Bookings,Rev/Booking (€),Retention (book/day),Revenue Lift,p-value,Significant
PPO (Ours),"205,614","±24,293","[188,236, 222,992]",2027.5,101.41,67.58,-4.2%,0.4431,
Fixed (α=1.0),"214,689","±27,347","[195,126, 234,252]",1969.2,109.02,65.64,baseline,-,-
Fixed (α=0.9),"199,898","±24,233","[182,563, 217,233]",2043.8,97.81,68.13,-6.9%,0.2170,
Fixed (α=1.1),"231,182","±32,257","[208,107, 254,257]",1919.8,120.42,63.99,+7.7%,0.2338,
Segmented Pricing,"213,808","±24,879","[196,010, 231,605]",2054.5,104.07,68.48,-0.4%,0.9407,
Weekend/Weekday,"212,544","±25,932","[193,994, 231,095]",1961.2,108.37,65.37,-1.0%,0.8592,
Demand Heuristic,"233,655","±32,840","[210,163, 257,148]",1874.2,124.67,62.47,+8.8%,0.1781,
Rule-Based Dynamic,"222,386","±29,583","[201,224, 243,549]",1984.9,112.04,66.16,+3.6%,0.5533,
Random,"213,854","±27,232","[194,373, 233,334]",1962.5,108.97,65.42,-0.4%,0.9462,
