Strategy,Mean Revenue (€),Std Revenue,95% CI,Mean Bookings,Rev/Booking (€),Retention (book/day),Revenue Lift,p-value,Significant
PPO (Ours),"189,453","±11,808","[186,098, 192,809]",2097.4,90.33,69.91,-13.8%,0.0000,✓
Fixed (α=1.0),"219,840","±19,075","[214,419, 225,261]",2020.0,108.83,67.33,baseline,-,-
Fixed (α=0.9),"204,099","±15,404","[199,721, 208,477]",2083.5,97.96,69.45,-7.2%,0.0000,✓
Fixed (α=1.1),"234,442","±25,604","[227,165, 241,718]",1951.8,120.12,65.06,+6.6%,0.0017,✓
Segmented Pricing,"214,888","±16,663","[210,153, 219,624]",2074.1,103.60,69.14,-2.3%,0.1700,
Weekend/Weekday,"218,508","±19,393","[212,996, 224,019]",2018.5,108.25,67.28,-0.6%,0.7298,
Demand Heuristic,"238,368","±27,232","[230,629, 246,107]",1911.5,124.70,63.72,+8.4%,0.0002,✓
Rule-Based Dynamic,"228,198","±20,607","[222,342, 234,054]",2034.0,112.19,67.80,+3.8%,0.0379,✓
Random,"219,464","±21,050","[213,482, 225,447]",2022.0,108.54,67.40,-0.2%,0.9257,
